username,score,verdict,members,found_via,scanned_at
@cgevent,85,EXCELLENT,46838,tosterscript,2026-01-14 19:08:25.810255
@forgetmeai,83,EXCELLENT,12239,[seed],2026-01-14 19:03:02.410823
@strangedalle,80,EXCELLENT,40229,tosterscript,2026-01-14 19:08:17.808413
@ainovasapiens,79,EXCELLENT,17897,[seed],2026-01-14 19:02:55.966455
@proboyscalp,79,EXCELLENT,21897,[seed],2026-01-14 19:03:24.972367
@ai_newz,79,EXCELLENT,84728,tosterscript,2026-01-14 19:09:11.069053
@rockybeat1,78,EXCELLENT,2549,[seed],2026-01-14 19:03:09.502318
@kingoftilt,78,EXCELLENT,59114,[seed],2026-01-14 19:03:18.033877
@traders_tournament,77,EXCELLENT,642,rockybeat1,2026-01-14 19:07:12.950400
@dnevnik10x,76,EXCELLENT,6598,[seed],2026-01-14 19:03:32.239408
@generatio_ai,74,GOOD,278,strangedalle,2026-01-14 19:09:55.922242
@counter_trend_tm,71,GOOD,1039,rockybeat1,2026-01-14 19:04:49.594438
@tosterscript,69,GOOD,4257,[seed],2026-01-14 19:03:40.965670
@greenneuralrobots,68,GOOD,10856,tosterscript,2026-01-14 19:09:03.239649
@hun7er_23,64,GOOD,1232,rockybeat1,2026-01-14 19:07:04.296807
@inneuralnetwork,64,GOOD,5093,strangedalle,2026-01-14 19:10:08.514600
@ritradepro,61,GOOD,982,kingoftilt,2026-01-14 19:07:51.934005
@proboysetups,61,GOOD,5004,proboyscalp,2026-01-14 19:08:04.045396
